time,user,hostname,pipeline,resize,detector_pre,detector_model,detector_post,extract_roi,landmark_pre,landmark_model,landmark_post,annotate,total,fps
2024-10-21 21:36:54.879732,root,maaxboardosm93,blaze_tflite,0.0061188510000533824,0.00022400500000685497,0.008304318999989846,0.00615131099999644,0.0,0.0,0.0,0.0,0.0,0.020798486000046523,48.08042277681958
2024-10-21 21:36:54.913126,root,maaxboardosm93,blaze_tflite,0.007349379999993744,0.0002024220000294008,0.008317902999976923,0.006439150999995036,0.0,0.0,0.0,0.0,0.0,0.022308855999995103,44.825247874665536
2024-10-21 21:36:54.946353,root,maaxboardosm93,blaze_tflite,0.005786426999975447,0.00021587999998473606,0.00995960800003104,0.007319504000008692,0.0,0.0,0.0,0.0,0.0,0.023281418999999914,42.952708337924065
2024-10-21 21:36:54.974960,root,maaxboardosm93,blaze_tflite,0.005396083999983148,0.0002135039999870969,0.00812623199999507,0.005531836999978168,0.0,0.0,0.0,0.0,0.0,0.019267656999943483,51.90044643222231
2024-10-21 21:36:55.006896,root,maaxboardosm93,blaze_tflite,0.005393208999976196,0.00022667199999659715,0.008083980999970208,0.005406669000024067,0.0,0.0,0.0,0.0,0.0,0.019110530999967068,52.327169768423666
2024-10-21 21:36:55.039461,root,maaxboardosm93,blaze_tflite,0.005508712999983345,0.00022646400003623057,0.008391695999989679,0.005573921999996401,0.0,0.0,0.0,0.0,0.0,0.019700795000005655,50.75937290854064
2024-10-21 21:36:55.086326,root,maaxboardosm93,blaze_tflite,0.005101285999955962,0.0002229220000344867,0.013327312000001257,0.005441211000004387,0.0,0.0,0.0,0.0,0.0,0.024092730999996093,41.506294989976944
2024-10-21 21:36:55.125882,root,maaxboardosm93,blaze_tflite,0.009027461000016501,0.00020646399997303888,0.011841984999989563,0.010062568000023475,0.0,0.0,0.0,0.0,0.0,0.03113847800000258,32.11460752834218
2024-10-21 21:36:55.164036,root,maaxboardosm93,blaze_tflite,0.00906433699998388,0.0002213799999708499,0.010541412999998556,0.009915106999983436,0.0,0.0,0.0,0.0,0.0,0.029742236999936722,33.62221879955188
2024-10-21 21:36:55.201060,root,maaxboardosm93,blaze_tflite,0.013240059999986897,0.00021750499996642247,0.011915278999993006,0.007132874999967953,0.0,0.0,0.0,0.0,0.0,0.03250571899991428,30.763817284048912
2024-10-21 21:36:55.232835,root,maaxboardosm93,blaze_tflite,0.006467484999973294,0.00022225599997227619,0.011185637000039605,0.005959431000007953,0.0,0.0,0.0,0.0,0.0,0.02383480899999313,41.955444241247676
2024-10-21 21:36:55.261637,root,maaxboardosm93,blaze_tflite,0.005757302000006348,0.00022246399998948618,0.008302194000009422,0.006845868000027622,0.0,0.0,0.0,0.0,0.0,0.021127828000032878,47.33094192164211
2024-10-21 21:36:55.290060,root,maaxboardosm93,blaze_tflite,0.006086892000041644,0.0003024650000043039,0.008070064000037291,0.005721550000032494,0.0,0.0,0.0,0.0,0.0,0.020180971000115733,49.55162960168097
2024-10-21 21:36:55.378195,root,maaxboardosm93,blaze_tflite,0.005288331999963702,0.0002225050000106421,0.0088794989999883,0.008488240000019687,0.03452859899999794,0.002026421999971717,0.01236995599998636,0.0034210379999990437,0.003910757999960879,0.07913534899989827,12.63657787117721
2024-10-21 21:36:55.409009,root,maaxboardosm93,blaze_tflite,0.007195543999955589,0.0002453389999459432,0.008334944000012001,0.006407609000007142,0.0,0.0,0.0,0.0,0.0,0.022183435999920675,45.078679425656865
2024-10-21 21:36:55.478391,root,maaxboardosm93,blaze_tflite,0.005840677999970012,0.0002200060000063786,0.008259193000014875,0.007722054999987904,0.01750540899996622,0.0018485019999729957,0.012146701000006033,0.003676918999985901,0.003278534999992644,0.060497997999902964,16.529472595136188
2024-10-21 21:36:55.555555,root,maaxboardosm93,blaze_tflite,0.0063305230000310075,0.0004866780000156723,0.013688944999955766,0.008089688999973532,0.01601795800002037,0.002017881000028865,0.012219243999993523,0.0030138210000245635,0.0030802389999848856,0.06494497800002819,15.397649376362342
2024-10-21 21:36:55.636642,root,maaxboardosm93,blaze_tflite,0.005453376999980719,0.00021400499997525912,0.008048687999973936,0.007112833000007868,0.010521745999994891,0.0018807120000019495,0.021847094000008838,0.0029876529999910417,0.011631522000016048,0.06969762999995055,14.347690158197768
2024-10-21 21:36:55.745225,root,maaxboardosm93,blaze_tflite,0.005725675000007868,0.00021996300000637348,0.008254942999997184,0.01722615300002417,0.027541228000018236,0.0018299589999628552,0.012197618000016064,0.003036154000028546,0.014807055000005676,0.09083874800006697,11.008518083046045
